basin,name,year,cyclone_of_the_year,num_of_track_entries,date,time,record_identifier,status_of_system,latitude,longitude,max_sustained_wind,central_pressure,34kt_NE,34kt_SE,34kt_SW,34kt_NW,50kt_NE,50kt_SE,50kt_SW,50kt_NW,64kt_NE,64kt_SE,64kt_SW,64kt_NW
EP,UNNAMED,1949,01,7,19490611,0000,,TS,20.2N,106.3W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,01,7,19490611,0600,,TS,20.2N,106.4W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,01,7,19490611,1200,,TS,20.2N,106.7W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,01,7,19490611,1800,,TS,20.3N,107.7W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,01,7,19490612,0000,,TS,20.4N,108.6W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,01,7,19490612,0600,,TS,20.5N,109.4W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,01,7,19490612,1200,,TS,20.6N,110.2W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,02,25,19490617,1200,,TS,14.1N,107.0W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,02,25,19490617,1800,,TS,14.6N,107.7W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,02,25,19490618,0000,,TS,15.0N,108.4W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,02,25,19490618,0600,,TS,15.4N,109.2W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,02,25,19490618,1200,,TS,15.7N,110.0W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,02,25,19490618,1800,,TS,16.0N,110.8W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,02,25,19490619,0000,,TS,16.3N,111.6W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,02,25,19490619,0600,,TS,16.7N,112.3W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,02,25,19490619,1200,,TS,17.1N,112.9W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,02,25,19490619,1800,,TS,17.5N,113.5W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,02,25,19490620,0000,,TS,18.0N,114.1W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,02,25,19490620,0600,,TS,18.4N,114.6W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,02,25,19490620,1200,,TS,18.9N,115.1W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,02,25,19490620,1800,,TS,19.4N,115.6W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,02,25,19490621,0000,,TS,19.9N,116.0W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,02,25,19490621,0600,,TS,20.4N,116.4W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,02,25,19490621,1200,,TS,21.0N,116.7W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,02,25,19490621,1800,,TS,21.5N,117.1W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,02,25,19490622,0000,,TS,22.0N,117.5W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,02,25,19490622,0600,,TS,22.5N,117.8W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,02,25,19490622,1200,,TS,23.1N,118.0W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,02,25,19490622,1800,,TS,23.9N,118.0W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,02,25,19490623,0000,,TS,24.7N,117.7W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,02,25,19490623,0600,,TS,25.4N,117.4W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,02,25,19490623,1200,,TS,26.0N,117.0W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,03,25,19490903,1200,,TS,17.3N,106.3W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,03,25,19490903,1800,,TS,17.6N,106.6W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,03,25,19490904,0000,,TS,17.9N,106.8W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,03,25,19490904,0600,,TS,18.4N,106.8W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,03,25,19490904,1200,,TS,18.8N,106.9W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,03,25,19490904,1800,,TS,18.9N,106.9W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,03,25,19490905,0000,,TS,19.0N,107.0W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,03,25,19490905,0600,,TS,19.0N,107.1W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,03,25,19490905,1200,,TS,19.1N,107.2W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,03,25,19490905,1800,,TS,19.6N,107.9W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,03,25,19490906,0000,,TS,20.2N,108.8W,45,,,,,,,,,,,,,,
